key	0	1	2	3	4	5	6	year	month	decade	year_in_decade
189501	0.000	0.000	0.000	0.952	0.048	0.000	0.000	1895	01	1890	5
189502	0.000	0.000	0.000	0.923	0.077	0.000	0.000	1895	02	1890	5
189503	0.000	0.000	0.000	0.898	0.086	0.016	0.000	1895	03	1890	5
189504	0.000	0.000	0.003	0.885	0.083	0.021	0.008	1895	04	1890	5
189505	0.000	0.000	0.057	0.777	0.105	0.036	0.025	1895	05	1890	5
189506	0.000	0.016	0.077	0.654	0.119	0.070	0.064	1895	06	1890	5
189507	0.004	0.034	0.052	0.548	0.158	0.092	0.111	1895	07	1890	5
189508	0.008	0.038	0.072	0.529	0.184	0.087	0.081	1895	08	1890	5
189509	0.033	0.044	0.051	0.632	0.143	0.047	0.049	1895	09	1890	5
189510	0.043	0.047	0.076	0.648	0.130	0.005	0.049	1895	10	1890	5
189511	0.042	0.056	0.085	0.623	0.116	0.029	0.049	1895	11	1890	5
189512	0.024	0.053	0.112	0.631	0.084	0.050	0.046	1895	12	1890	5
189601	0.026	0.058	0.113	0.606	0.100	0.056	0.041	1896	01	1890	6
189602	0.013	0.044	0.085	0.722	0.069	0.025	0.041	1896	02	1890	6
189603	0.008	0.032	0.118	0.707	0.056	0.025	0.055	1896	03	1890	6
189604	0.007	0.044	0.132	0.628	0.103	0.013	0.073	1896	04	1890	6
189605	0.015	0.082	0.138	0.461	0.171	0.045	0.089	1896	05	1890	6
189606	0.015	0.072	0.180	0.504	0.105	0.062	0.063	1896	06	1890	6
189607	0.005	0.064	0.129	0.526	0.145	0.061	0.069	1896	07	1890	6
189608	0.016	0.082	0.182	0.482	0.128	0.036	0.075	1896	08	1890	6
189609	0.012	0.079	0.101	0.537	0.121	0.071	0.078	1896	09	1890	6
189610	0.002	0.044	0.092	0.616	0.151	0.045	0.050	1896	10	1890	6
189611	0.002	0.029	0.082	0.573	0.175	0.080	0.058	1896	11	1890	6
189612	0.015	0.038	0.090	0.618	0.158	0.037	0.044	1896	12	1890	6
189701	0.014	0.032	0.064	0.634	0.153	0.078	0.025	1897	01	1890	7
189702	0.002	0.034	0.071	0.602	0.181	0.079	0.032	1897	02	1890	7
189703	0.002	0.020	0.032	0.511	0.246	0.119	0.070	1897	03	1890	7
189704	0.002	0.023	0.031	0.638	0.146	0.121	0.041	1897	04	1890	7
189705	0.005	0.022	0.032	0.756	0.092	0.074	0.019	1897	05	1890	7
189706	0.017	0.015	0.037	0.754	0.088	0.052	0.037	1897	06	1890	7
189707	0.019	0.013	0.073	0.705	0.065	0.062	0.063	1897	07	1890	7
189708	0.011	0.021	0.080	0.753	0.053	0.030	0.051	1897	08	1890	7
189709	0.028	0.017	0.152	0.723	0.040	0.010	0.031	1897	09	1890	7
189710	0.029	0.047	0.210	0.588	0.051	0.041	0.033	1897	10	1890	7
189711	0.034	0.073	0.176	0.623	0.049	0.034	0.012	1897	11	1890	7
189712	0.019	0.061	0.188	0.623	0.035	0.062	0.012	1897	12	1890	7
189801	0.021	0.041	0.115	0.717	0.048	0.044	0.013	1898	01	1890	8
189802	0.025	0.051	0.125	0.700	0.058	0.024	0.017	1898	02	1890	8
189803	0.035	0.052	0.124	0.641	0.111	0.023	0.012	1898	03	1890	8
189804	0.054	0.038	0.133	0.666	0.082	0.015	0.012	1898	04	1890	8
189805	0.038	0.056	0.147	0.598	0.083	0.059	0.019	1898	05	1890	8
189806	0.048	0.069	0.093	0.615	0.087	0.062	0.026	1898	06	1890	8
189807	0.037	0.052	0.096	0.615	0.090	0.078	0.032	1898	07	1890	8
189808	0.038	0.064	0.076	0.625	0.080	0.100	0.017	1898	08	1890	8
189809	0.038	0.075	0.101	0.585	0.114	0.072	0.015	1898	09	1890	8
189810	0.023	0.058	0.138	0.535	0.149	0.068	0.029	1898	10	1890	8
189811	0.026	0.049	0.104	0.600	0.108	0.089	0.026	1898	11	1890	8
189812	0.021	0.051	0.104	0.683	0.088	0.041	0.012	1898	12	1890	8
189901	0.018	0.048	0.102	0.676	0.102	0.042	0.012	1899	01	1890	9
189902	0.035	0.020	0.101	0.628	0.163	0.034	0.020	1899	02	1890	9
189903	0.006	0.019	0.085	0.662	0.133	0.071	0.023	1899	03	1890	9
189904	0.010	0.057	0.077	0.751	0.079	0.019	0.007	1899	04	1890	9
189905	0.006	0.078	0.103	0.695	0.072	0.033	0.013	1899	05	1890	9
189906	0.006	0.082	0.097	0.693	0.081	0.027	0.013	1899	06	1890	9
189907	0.015	0.052	0.103	0.672	0.098	0.048	0.013	1899	07	1890	9
