id,date,Readers,group,Topic
1,181211,3.91086,World events,Men's football World Cup
1,180420,3.69307,World events,Men's football World Cup
1,180421,3.75555,World events,Men's football World Cup
1,180422,2.00646,World events,Men's football World Cup
1,180423,4.22626,World events,Men's football World Cup
1,180424,4.62305,World events,Men's football World Cup
1,180425,7.51981,World events,Men's football World Cup
1,180426,4.90503,World events,Men's football World Cup
1,180427,7.76514,World events,Men's football World Cup
1,180428,3.84678,World events,Men's football World Cup
1,180429,1.72077,World events,Men's football World Cup
1,180430,3.42596,World events,Men's football World Cup
1,180501,3.71136,World events,Men's football World Cup
1,180502,3.83895,World events,Men's football World Cup
1,180503,4.55812,World events,Men's football World Cup
1,180504,3.74627,World events,Men's football World Cup
1,180505,2.6454,World events,Men's football World Cup
1,180506,3.45416,World events,Men's football World Cup
1,180419,2.63078,World events,Men's football World Cup
1,180418,3.17121,World events,Men's football World Cup
1,180417,3.41184,World events,Men's football World Cup
1,180416,3.99653,World events,Men's football World Cup
1,180329,4.85238,World events,Men's football World Cup
1,180330,3.39687,World events,Men's football World Cup
1,180331,2.06621,World events,Men's football World Cup
1,180401,3.2680700000000003,World events,Men's football World Cup
1,180402,4.4746,World events,Men's football World Cup
1,180403,3.17975,World events,Men's football World Cup
1,180404,2.60241,World events,Men's football World Cup
1,180405,2.53541,World events,Men's football World Cup
1,180507,3.33177,World events,Men's football World Cup
1,180406,2.8963,World events,Men's football World Cup
1,180408,1.9908,World events,Men's football World Cup
1,180409,2.19645,World events,Men's football World Cup
1,180410,2.4218900000000003,World events,Men's football World Cup
1,180411,2.59277,World events,Men's football World Cup
1,180412,3.3648300000000004,World events,Men's football World Cup
1,180413,4.25462,World events,Men's football World Cup
1,180414,2.67738,World events,Men's football World Cup
1,180415,3.15222,World events,Men's football World Cup
1,180407,1.90324,World events,Men's football World Cup
1,180328,9.64838,World events,Men's football World Cup
1,180508,5.07062,World events,Men's football World Cup
1,180510,4.16276,World events,Men's football World Cup
1,180602,15.49019,World events,Men's football World Cup
1,180603,15.88845,World events,Men's football World Cup
1,180604,16.707729999999998,World events,Men's football World Cup
1,180605,12.97614,World events,Men's football World Cup
1,180606,15.18531,World events,Men's football World Cup
1,180607,19.3705,World events,Men's football World Cup
1,180608,15.32989,World events,Men's football World Cup
1,180609,13.520220000000002,World events,Men's football World Cup
1,180610,14.71784,World events,Men's football World Cup
1,180611,18.18328,World events,Men's football World Cup
1,180612,21.77576,World events,Men's football World Cup
1,180613,29.37009,World events,Men's football World Cup
1,180614,35.67581,World events,Men's football World Cup
1,180615,38.92933,World events,Men's football World Cup
1,180616,37.36583,World events,Men's football World Cup
1,180617,34.91536,World events,Men's football World Cup
1,180618,47.85667,World events,Men's football World Cup
1,180601,10.08713,World events,Men's football World Cup
1,180531,10.72798,World events,Men's football World Cup
1,180530,11.17156,World events,Men's football World Cup
1,180529,13.25109,World events,Men's football World Cup
1,180511,4.96667,World events,Men's football World Cup
1,180512,3.65055,World events,Men's football World Cup
1,180513,4.86423,World events,Men's football World Cup
1,180514,6.95918,World events,Men's football World Cup
1,180515,13.25753,World events,Men's football World Cup
1,180516,19.02258,World events,Men's football World Cup
1,180517,12.49055,World events,Men's football World Cup
1,180518,9.45869,World events,Men's football World Cup
