capitalization,earnings,taxes,sector,name,alias,symbol,taxRate
73048,33992,9379,Vehicle Resolution,3M Company,,MMM,27.59178630265945
57408,34694,6317,Set Up My Loan,Abbott Laboratories,,ABT,18.207759266732
3867,2551,960,Outside Sales,Abercrombie & Fitch Co.,,ANF,37.632301058408466
49763,18735,5025,Keep Me In My Car,Accenture plc,,ACN,26.821457165732586
30619,16453,2834,Navigate My Account,ACE Limited,,ACE,17.224822220871573
21980,5824,1035,Keep Me In My Car,Adobe Systems Inc.,,ADBE,17.771291208791208
17797,15139,4637,Set Up My Loan,Aetna Inc.,,AET,30.62949996697272
23183,17461,4441,Navigate My Account,AFLAC Inc.,,AFL,25.4338239505183
14463,4259,565,Set Up My Loan,Agilent Technologies Inc.,,A,13.266024888471472
5019,2272,228,Fund My Deal,AGL Resources Inc.,,GAS,10.035211267605634
17783,7775,1217,Inside Sales,Air Products & Chemicals Inc.,,APD,15.652733118971062
7355,2270,374,Inside Sales,"Airgas, Inc.",,ARG,16.475770925110133
6155,1531,203,Keep Me In My Car,"Akamai Technologies, Inc.",,AKAM,13.25930764206401
19166,767,41,Keep Payments Simple,"Alexion Keep Payments Simpleceuticals, Inc.",,ALXN,5.345501955671447
3214,2796,489,Inside Sales,Allegheny Technologies Inc.,,ATI,17.489270386266096
33550,5279,2049,Keep Payments Simple,Allergan Inc.,,AGN,38.81416935025573
10627,3371,132,Keep Me In My Car,Altera Corp.,,ALTR,3.915752002373183
70631,32126,13771,Help Me Catch Up,Altria Group Inc.,,MO,42.86559173255307
117706,5522,345,Outside Sales,Amazon.com Inc.,,AMZN,6.247736327417602
8512,2571,246,Fund My Deal,Ameren Corporation,,AEE,9.56826137689615
23915,11736,243,Fund My Deal,"American Electric Power Co., Inc.",,AEP,2.0705521472392636
72290,31487,7600,Move On,American Express Company,,AXP,24.13694540604059
31253,2711,206,Move On,American Tower Corporation,,AMT,7.598672076724456
14662,5659,986,Move On,"Ameriprise Financial, Inc.",,AMP,17.4235730694469
12191,5633,1484,Set Up My Loan,AmerisourceBergen Corporation,,ABC,26.344754127463162
78660,28488,4506,Keep Payments Simple,Amgen Inc.,,AMGN,15.817186183656275
11664,3710,810,Keep Me In My Car,Amphenol Corporation,,APH,21.83288409703504
43985,13368,3765,Close My Account,Anadarko Petroleum Corporation,,APC,28.16427289048474
13463,4402,870,Keep Me In My Car,"Analog Devices, Inc.",,ADI,19.76374375283962
18735,6675,1580,Navigate My Account,Aon plc,,AON,23.670411985018728
29247,24107,8625,Close My Account,Apache Corp.,,APA,35.77798979549508
1875,5139,2281,Help Me Catch Up,Apollo Group Inc.,,APOL,44.38606732827398
400236,134527,18844,Keep Me In My Car,Apple Inc.,,AAPL,14.007596987965242
16057,7443,2172,Keep Me In My Car,"Applied Inside Sales, Inc.",,AMAT,29.181781539701735
21951,15613,4260,Help Me Catch Up,Archer Daniels Midland Company,,ADM,27.284954845321206
3614,4354,1844,Navigate My Account,Assurant Inc.,,AIZ,42.351860358291226
206594,67738,17819,Manage My Leads,"AT&T, Inc.",,T,26.305766334996605
8583,1809,263,Keep Me In My Car,"Autodesk, Inc.",,ADSK,14.538419016030957
31167,11245,4175,Keep Me In My Car,"Automatic Data Processing, Inc.",,ADP,37.12761227212094
14265,6915,2182,Outside Sales,"AutoZone, Inc.",,AZO,31.55459146782357
19776,10790,4712,Close My Account,Baker Hughes Incorporated,,BHI,43.670064874884154
7038,3374,827,Inside Sales,Ball Corporation,,BLL,24.510966212211027
132141,31231,12417,Move On,Bank of America Corporation,,BAC,39.758573212513205
38097,14912,1922,Set Up My Loan,Baxter International Inc.,,BAX,12.888948497854077
21263,11086,4631,Move On,BB&T Corporation,,BBT,41.7734079018582
9808,2511,879,Help Me Catch Up,"Beam, Inc.",,BEAM,35.00597371565114
18516,8911,2166,Set Up My Loan,"Becton, Dickinson and Company",,BDX,24.307036247334754
14440,6329,2405,Outside Sales,Bed Bath & Beyond Inc.,,BBBY,37.999683994311894
4156,1697,505,Inside Sales,"Bemis Company, Inc.",,BMS,29.758397171479082
259564,96365,22584,Move On,Berkshire Hathaway Inc.,,BRK.A,23.435894775073937
8795,11764,4396,Outside Sales,"Best Buy Co., Inc.",,BBY,37.36824209452567
